Year,Catalog_ID,Title,Author(s),LDC Catalog No.,ISBN,ISLRN,DOI,Release Date,Member Year(s),DCMI Type(s),Sample Type,Sample Rate,Data Source(s),Project(s),Application(s),Language(s),Language ID(s),License(s),Online Documentation,Licensing Instructions,Citation,URL
2025,LDC2025S02,2015 NIST Language Recognition Evaluation Test Set,"Craig Greenberg, Omid Sadjadi, David Graff, Kevin Walker, Karen Jones, Christopher Caruso, Stephanie Strassel, Jonathan Wright",LDC2025S02,,411-138-775-382-3,https://doi.org/4975-nz38,"March 17, 2025",2025,Sound,linear pcm,8000,"broadcast news, telephone speech",NIST LRE,language identification,"Mesopotamian Arabic, North Levantine Arabic, Standard Arabic, Moroccan Arabic, Egyptian Arabic, English, Haitian, French, Portuguese, Spanish, Chinese, Wu Chinese, Yue Chinese, Min Dong Chinese, Polish, Russian","acm, apc, arb, ary, arz, eng, hat, fra, por, spa, zho, wuu, yue, cdo, pol, rus",LDC User Agreement for Non-Members,LDC2025S02 Documents,"Subscription & Standard Members, and Non-Members","Greenberg, Craig, et al. 2015 NIST Language Recognition Evaluation Test Set LDC2025S02. Web Download. Philadelphia: Linguistic Data Consortium, 2025.",https://catalog.ldc.upenn.edu/LDC2025S02
2025,LDC2025T10,Abstract Meaning Representation 2.0 - Machine Translations,"Shay Cohen, Rico Sennrich, Guojun Wu",LDC2025T10,,778-065-871-030-6,https://doi.org/10.35111/fc86-7215,"August 15, 2025",2025,Text,,,"broadcast conversation, discussion forum, newswire, web collection, weblogs",,machine translation,"German, Mandarin Chinese, English, Italian, Spanish","deu, cmn, eng, ita, spa",LDC User Agreement for Non-Members,LDC2025T10 Documents,"Subscription & Standard Members, and Non-Members","Cohen, Shay, Rico Sennrich, and Guojun Wu. Abstract Meaning Representation 2.0 - Machine Translations LDC2025T10. Web Download. Philadelphia: Linguistic Data Consortium, 2025.",https://catalog.ldc.upenn.edu/LDC2025T10
2025,LDC2025T13,"AIDA Scenario 1 Evaluation Topic Source Data, Annotation, and Assessment","Jennifer Tracey, Stephanie Strassel, Jeremy Getman, Ann Bies, Kira Griffitt, David Graff, Christopher Caruso",LDC2025T13,,620-348-369-491-1,https://doi.org/10.35111/n4ac-3012,"September 15, 2025",2025,"Image, MovingImage, StillImage, Text",mpeg,44100 Hz (with some variations),web collection,AIDA,"entity extraction, event detection, information extraction","Ukrainian, Russian, English","ukr, rus, eng",LDC User Agreement for Non-Members,LDC2025T13 Documents,"Subscription & Standard Members, and Non-Members","Tracey, Jennifer, et al. AIDA Scenario 1 Evaluation Topic Source Data, Annotation, and Assessment LDC2025T13. Web Download. Philadelphia: Linguistic Data Consortium, 2025.",https://catalog.ldc.upenn.edu/LDC2025T13
2025,LDC2025T02,AIDA Scenario 3 Practice Topic Source Data and Annotation,"Jennifer Tracey, Stephanie Strassel, Jeremy Getman, Ann Bies, Kira Griffitt, David Graff, Christopher Caruso",LDC2025T02,,141-368-488-003-3,https://doi.org/10.35111/a9kv-ct74,"February 17, 2025",2025,"MovingImage, Software, StillImage, Text",,,"discussion forum, newswire, web collection, weblogs",AIDA,"entity extraction, information extraction","English, Russian, Spanish","eng, rus, spa",LDC User Agreement for Non-Members,LDC2025T02 Documents,"Subscription & Standard Members, and Non-Members","Tracey, Jennifer, et al. AIDA Scenario 3 Practice Topic Source Data and Annotation LDC2025T02. Web Download. Philadelphia: Linguistic Data Consortium, 2025.",https://catalog.ldc.upenn.edu/LDC2025T02
2025,LDC2025S06,AnnoDIFP Session Audio and Transcripts,"Christopher Cieri, James Fiumara, Kevin Walker, Mark Liberman, Neville Ryant",LDC2025S06,,831-339-304-772-0,https://doi.org/10.35111/kbj5-9864,"July 15, 2025",2025,"Sound, Text",16-bit FLAC,16000,"microphone conversation, microphone speech",AnnoDIFP,"machine learning, psycholinguistics",English,eng,LDC User Agreement for Non-Members,LDC2025S06 Documents,"Subscription & Standard Members, and Non-Members","Cieri, Christopher, et al. AnnoDIFP Session Audio and Transcripts LDC2025S06. Web Download. Philadelphia: Linguistic Data Consortium, 2025.",https://catalog.ldc.upenn.edu/LDC2025S06
2025,LDC2025S09,BOLT CTS CALLFRIEND CALLHOME Egyptian Arabic Audio,"David Graff, Song Chen, Stephanie Strassel",LDC2025S09,,475-316-977-261-3,https://doi.org/10.35111/6ah6-a104,"October 15, 2025",2025,Sound,16-bit,8000,"telephone conversations, telephone speech",BOLT,"cross-lingual information retrieval, information retrieval, machine translation, speaker identification, speech recognition",Egyptian Arabic,arz,LDC User Agreement for Non-Members,LDC2025S09 Documents,"Subscription & Standard Members, and Non-Members","Graff, David, Song Chen, and Stephanie Strassel. BOLT CTS CALLFRIEND CALLHOME Egyptian Arabic Audio LDC2025S09. Web Download. Philadelphia: Linguistic Data Consortium, 2025.",https://catalog.ldc.upenn.edu/LDC2025S09
2025,LDC2025T14,BOLT CTS CALLFRIEND CALLHOME Egyptian Arabic Transcripts and Translations,"Jennifer Tracey, Song Chen, Dana Delgado, Stephanie Strassel",LDC2025T14,,615-498-437-695-7,https://doi.org/10.35111/gkpt-d139,"October 15, 2025",2025,Text,,,"telephone conversations, telephone speech",BOLT,"cross-lingual information retrieval, information retrieval, machine translation, speaker identification","English, Egyptian Arabic","eng, arz",LDC User Agreement for Non-Members,LDC2025T14 Documents,"Subscription & Standard Members, and Non-Members","Tracey, Jennifer, et al. BOLT CTS CALLFRIEND CALLHOME Egyptian Arabic Transcripts and Translations LDC2025T14. Web Download. Philadelphia: Linguistic Data Consortium, 2025.",https://catalog.ldc.upenn.edu/LDC2025T14
2025,LDC2025S04,BOLT CTS CALLFRIEND CALLHOME Mainland Mandarin Chinese Audio,"Jennifer Tracey, David Graff, Song Chen, Stephanie Strassel",LDC2025S04,,319-237-059-416-8,https://doi.org/10.35111/d6y0-25s04,"May 15, 2025",2025,Sound,16-bit,8000,"telephone conversations, telephone speech",BOLT,"cross-lingual information retrieval, information retrieval, machine translation, speaker identification, speech recognition",Mandarin Chinese,cmn,LDC User Agreement for Non-Members,LDC2025S04 Documents,"Subscription & Standard Members, and Non-Members","Tracey, Jennifer, et al. BOLT CTS CALLFRIEND CALLHOME Mainland Mandarin Chinese Audio LDC2025S04. Web Download. Philadelphia: Linguistic Data Consortium, 2025.",https://catalog.ldc.upenn.edu/LDC2025S04
2025,LDC2025T05,BOLT CTS CALLFRIEND CALLHOME Mainland Mandarin Chinese Transcripts and Translations,"Jennifer Tracey, Song Chen, Dana Delgado, Stephanie Strassel",LDC2025T05,,075-534-579-254-4,https://doi.org/10.35111/jsx-25t05,"May 15, 2025",2025,Text,,,"telephone conversations, transcribed speech",BOLT,"cross-lingual information retrieval, information retrieval, machine translation, speaker identification","English, Mandarin Chinese","eng, cmn",LDC User Agreement for Non-Members,LDC2025T05 Documents,"Subscription & Standard Members, and Non-Members","Tracey, Jennifer, et al. BOLT CTS CALLFRIEND CALLHOME Mainland Mandarin Chinese Transcripts and Translations LDC2025T05. Web Download. Philadelphia: Linguistic Data Consortium, 2025.",https://catalog.ldc.upenn.edu/LDC2025T05
2025,LDC2025T06,Chinese Sentence Pattern Structure Treebank,"Weiming Peng, Min  Zhao, Jing  He, Yuchen  Song, Tianbao  Song, Dongdong  Guo, Jingbo  Sun, Shuqin  Zhu, Yinbin  Zhang, Zuntian  Wei, Jiajia  Hu, Jihua  Song, Zhifang  Sui, Ning Wang",LDC2025T06,,916-484-709-412-8,https://doi.org/10.35111/hx6v-6p30,"June 16, 2025",2025,Text,,,"essays, fiction, non-fiction",,"historical linguistics, information extraction, linguistic analysis, natural language processing, syntactic parsing","Mandarin Chinese, Chinese","cmn, zho",LDC User Agreement for Non-Members,LDC2025T06 Documents,"Subscription & Standard Members, and Non-Members","Peng, Weiming, et al. Chinese Sentence Pattern Structure Treebank  LDC2025T06. Web Download. Philadelphia: Linguistic Data Consortium, 2025.",https://catalog.ldc.upenn.edu/LDC2025T06
2025,LDC2025T04,DEFT Spanish Light and Rich ERE Annotation,"Song Chen, Justin Mott, Stephanie Strassel",LDC2025T04,,080-565-110-210-3,https://doi.org/10.35111/spa00-888,"April 15, 2025",2025,Text,,,"discussion forum, newswire",DEFT,information extraction,Spanish,spa,LDC User Agreement for Non-Members,LDC2025T04 Documents,"Subscription & Standard Members, and Non-Members","Chen, Song, Justin Mott, and Stephanie Strassel. DEFT Spanish Light and Rich ERE Annotation LDC2025T04. Web Download. Philadelphia: Linguistic Data Consortium, 2025.",https://catalog.ldc.upenn.edu/LDC2025T04
2025,LDC2025L01,Iraqi Arabic - English Lexical Database,"Mohamed Maamouri, David Graff",LDC2025L01,,362-004-101-706-6,https://doi.org/10.35111/7fr9-g791,"January 15, 2025",2025,Text,,,dictionaries,DOE/IRS2008-0256,"language teaching, machine translation, part of speech tagging, pronunciation modeling","Mesopotamian Arabic, English","acm, eng",Iraqi Arabic - English Lexical Database Agreement,LDC2025L01 Documents,"Subscription & Standard Members, and Non-Members","Maamouri, Mohamed, and David Graff. Iraqi Arabic - English Lexical Database LDC2025L01. Web Download. Philadelphia: Linguistic Data Consortium, 2025.",https://catalog.ldc.upenn.edu/LDC2025L01
2025,LDC2025S05,"IWSLT 2022-2023 Shared Task Training, Development and Test Set","Michael Arrigo, Dana Delgado, Stephanie Strassel, David Graff",LDC2025S05,,259-142-542-173-8,https://doi.org/10.35111/h29h-2f84,"June 16, 2025",2025,"Sound, Text",PCM,8000,telephone conversations,NIST SRE,"cross-lingual information retrieval, information retrieval, machine translation, speaker identification","English, Tunisian Arabic","eng, aeb",LDC User Agreement for Non-Members,LDC2025S05 Documents,"Subscription & Standard Members, and Non-Members","Arrigo, Michael, et al. IWSLT 2022-2023 Shared Task Training, Development and Test Set LDC2025S05. Web Download. Philadelphia: Linguistic Data Consortium, 2025.",https://catalog.ldc.upenn.edu/LDC2025S05
2025,LDC2025T11,KAIROS Phase 1 Quizlet,"Song Chen, Ann Bies, Justin Mott, Christopher Caruso, Jennifer Tracey, Stephanie Strassel",LDC2025T11,,357-044-554-407-1,https://doi.org/10.35111/rcba-vb61,"August 15, 2025",2025,"Image, MovingImage, Software, Sound, StillImage, Text",,,web collection,KAIROS,"entity extraction, event detection, information extraction, knowledge representation","English, Spanish","eng, spa",LDC User Agreement for Non-Members,LDC2025T11 Documents,"Subscription & Standard Members, and Non-Members","Chen, Song, et al. KAIROS Phase 1 Quizlet LDC2025T11. Web Download. Philadelphia: Linguistic Data Consortium, 2025.",https://catalog.ldc.upenn.edu/LDC2025T11
2025,LDC2025T15,KAIROS Phase 2 Quizlet,"Song Chen, Ann Bies, Christopher Caruso, Jennifer Tracey, Stephanie Strassel",LDC2025T15,,655-957-812-959-9,https://doi.org/10.35111/n6td-nn51,"October 15, 2025",2025,"Image, MovingImage, Software, Sound, StillImage, Text",,,web collection,KAIROS,"entity extraction, event detection, information extraction, knowledge representation","Spanish, English","spa, eng",LDC User Agreement for Non-Members,LDC2025T15 Documents,"Subscription & Standard Members, and Non-Members","Chen, Song, et al. KAIROS Phase 2 Quizlet LDC2025T15. Web Download. Philadelphia: Linguistic Data Consortium, 2025.",https://catalog.ldc.upenn.edu/LDC2025T15
