ID,Language,Dataset,Modality,Use,Features,Source Paper,Dataset Access,Cited By
6,Akan,Akan language dataset,Text,Sentiment Analysis,"The Akan language dataset is used to study cultural variation in emotion perception within a broader set of 15 African languages and to evaluate the performance of a base model in Akan compared to an English model, focusing on model generalization capabilities. This dataset enables researchers to explore linguistic and cultural nuances in emotion perception and machine learning model effectiveness across languages.",https://doi.org/10.48550/arXiv.2503.19642 (2025),,https://doi.org/10.48550/arXiv.2502.10973 (2025); https://www.semanticscholar.org/paper/d8e6c45b1504089cdde501164d0bb557ac544dfb (2025)
7,Akan,Akan UGSpeechData,Speech,Speech Recognition/Understanding,"The Akan UGSpeechData dataset is used to train an Akan base model for standard speech recognition, utilizing 100 hours of transcribed Akan speech comprising 18,787 samples. This dataset enables researchers to develop and refine speech recognition systems specifically tailored for the Akan language, enhancing accuracy and performance in Akan speech processing applications.",https://www.sciencedirect.com/science/article/pii/S2352340925006043,https://www.scidb.cn/en/detail?dataSetId=bbd6baee3acf43bbbc4fe25e21077c8a,https://www.semanticscholar.org/paper/d8e6c45b1504089cdde501164d0bb557ac544dfb (2025)
8,Akan,EmotionLines,Text,Emotion Detection,"EmotionLines is the first dataset with emotions labeling on all utterances in each dialogue only based on their textual content. Dialogues in EmotionLines are collected from Friends TV scripts and private Facebook messenger dialogues. Then one of seven emotions, six Ekman’s basic emotions plus the neutral emotion, is labeled on each utterance by 5 Amazon MTurkers. A total of 29,245 utterances from 2,000 dialogues are labeled in EmotionLines.",https://aclanthology.org/L18-1252/ (2018),,https://doi.org/10.48550/arXiv.2502.10973 (2025)
12,Akan,wordsim-353,Text,Lexicon/Dictionary,"The wordsim-353 dataset is used to evaluate word similarity in African languages, specifically Yoruba and Twi, by translating and adapting the original English dataset. Researchers employ this adapted dataset to assess the performance of computational models in capturing semantic similarities between words in these languages. This enables the development and refinement of natural language processing tools tailored for African linguistic contexts.",https://doi.org/10.1109/ICDARW.2019.40090 (2019),http://www.cs.technion.ac.il/~gabr/resources/data/wordsim353/,https://www.semanticscholar.org/paper/4e96e6d2abc54bc55d5489a9e5a666f273b69410 (2019)
132,Assamese,"8,000 Tourism domain parallel sentences",Text,Machine Translation,"The 8,000 Tourism domain parallel sentences dataset is used to train and evaluate Assamese to English statistical machine translation systems. Research focuses on assessing the impact of dataset size and domain specificity on translation performance. This dataset enables researchers to investigate how domain-specific data influences the accuracy and effectiveness of machine translation models.",https://doi.org/10.5120/17522-8084 (2014),,https://doi.org/10.1145/3469721 (2021)
133,Assamese,AHTID-MW (2015),Text,Handwriting Recognition,"The AHTID-MW (2015) dataset is used to train and evaluate machine learning models for Assamese language processing, specifically focusing on handwriting recognition and text classification tasks. This dataset enables researchers to develop and test algorithms that can accurately recognize handwritten Assamese text and classify Assamese text into various categories, enhancing the performance and reliability of Assamese language processing systems.",https://www.semanticscholar.org/paper/05582b1f331e736677f601625ef8668032984ea2 (2005),,https://doi.org/10.1109/ACCESS.2023.3301564 (2023)
134,Assamese,Aksharantar,Text,Transliteration,"The Aksharantar dataset is used to train and evaluate a multilingual transliteration model for 21 Indian languages, including Assamese. It focuses on achieving state-of-the-art results using a transformer-based model. The dataset's multilingual nature and comprehensive coverage of Indian languages enable researchers to develop and test advanced transliteration systems.",https://doi.org/10.48550/arXiv.2205.03018 (2022),https://huggingface.co/datasets/ai4bharat/Aksharantar,https://doi.org/10.1145/3639565 (2024)
135,Assamese,ALT,Text,Machine Translation,"The ALT dataset is primarily used to collate parallel data for machine translation, focusing on Indian languages, particularly Assamese. It serves as a training set for developing and evaluating translation models, enhancing their performance for under-resourced and low-resource languages. This dataset supports the creation of more accurate and robust machine translation systems, specifically addressing the needs of Assamese and other Indian languages.",,https://www2.nict.go.jp/astrec-att/member/mutiyama/ALT/,https://doi.org/10.1162/tacl_a_00452 (2021)
136,Assamese,AsNER,Text,Named Entity Recognition,"The AsNER dataset is used to develop and evaluate Named Entity Recognition (NER) models for the Assamese language, focusing on entity extraction from text. It provides annotated data for training and evaluating NER systems, supporting research in Assamese language processing and NLP tasks. This dataset enables researchers to improve the accuracy and performance of NER models specific to Assamese, addressing the need for robust language resources in this domain.",https://doi.org/10.48550/arXiv.2207.03422 (2022),,https://doi.org/10.1109/RAIT65068.2025.11089369 (2025); https://doi.org/10.48550/arXiv.2410.11291 (2024)
137,Assamese,Assamese caption dataset,Multimodal,Image Caption Generation,"The Assamese caption dataset is used to generate image captions in Assamese by translating English captions from Flickr30K and MSCOCO using Microsoft Azure translation service. It addresses the lack of resources in the low-resource Assamese language, enhancing training data availability for natural language processing tasks, particularly in image caption generation.",https://www.semanticscholar.org/paper/b51ce2126eadf25586b118b284cc5dfa0065b557 (2022),,https://doi.org/10.1109/IALP61005.2023.10337310 (2023); https://doi.org/10.1145/3717612 (2025)
140,Assamese,Assamese language dataset,Text,Parsing and Tagging,"The Assamese language dataset is used to extract event information from Facebook posts by leveraging reports from Assamese news portals. This involves detecting and analyzing events from social media content, employing natural language processing techniques to identify and categorize events. The dataset's relevance lies in its ability to bridge social media data with traditional news sources, enhancing the accuracy of event detection in regional languages.; The Assamese language dataset is used to study morphological patterns and train a morphological tagger, specifically utilizing a large text corpus from the Assamese daily Asomiya Pratidin. This dataset enables researchers to analyze morphological structures and develop tagging models tailored to the genre of daily newspaper articles.","https://doi.org/10.1007/978-3-030-42363-6_15 (2019), https://doi.org/10.1145/1386869.1386871 (2008)",,https://doi.org/10.1088/1757-899X/1070/1/012055 (2021); https://doi.org/10.3115/1667583.1667595 (2009)
141,Assamese,Assamese OCR corpus,Text,OCR,"The Assamese OCR corpus is used to develop and improve OCR systems for the Assamese language. It focuses on collecting data for 182 unique, frequently occurring words to enhance OCR accuracy. Researchers analyze the frequency of selected BU sets in Assamese text, which helps in refining the OCR system's performance on common linguistic elements. This dataset enables targeted improvements in Assamese language processing and recognition.",https://doi.org/10.1145/2432553.2432566 (2012),,https://doi.org/10.1109/ICFHR-2018.2018.00063 (2018)
144,Assamese,Assamese UPoS Tagged Dataset,Text,Parsing and Tagging,"The Assamese UPoS Tagged Dataset serves as a gold standard resource, supporting various NLP tasks for the Assamese language. It enables the training of machine learning models, facilitating research in areas such as part-of-speech tagging and other linguistic analyses. This dataset's annotated tags provide essential data for developing and evaluating NLP systems tailored to Assamese.",https://doi.org/10.52783/jes.1506 (2024),,https://doi.org/10.48550/arXiv.2410.11291 (2024)
145,Assamese,Assamese WordNet,Text,Machine Translation,"The Assamese WordNet dataset is used to enhance the quality of bilingual machine translation systems and document classification in Assamese Natural Language Processing (NLP). It provides essential lexical and semantic information, which improves the accuracy and context understanding in these NLP tasks. This dataset enables researchers to develop more effective and culturally relevant NLP applications for the Assamese language.",https://www.semanticscholar.org/paper/01d99bfa62e7cc66ee70115ea5d6e4fc471d5c96 (2014),https://www.tezu.ernet.in/~nlp/paper/nwdaa_11.pdf,https://doi.org/10.5815/ijem.2016.03.04 (2016)
138,Assamese,Assamese-English corpus,Text,Machine Translation,"The Assamese-English corpus is used for evaluating and training neural machine translation (NMT) models, specifically in the context of low-resource Assamese-English translation. Researchers employ this dataset to compare the performance of different NMT systems, including a sequence-to-sequence RNN with attention and a transformer model. The dataset's focus on low-resource settings enables the assessment of these models' effectiveness in handling less common language pairs.",https://doi.org/10.1007/978-981-33-4084-8_4 (2021),,https://doi.org/10.1109/GCAT55367.2022.9972085 (2022)
146,Assamese,COCO-Assamese,Multimodal,Image Captioning,"The COCO-Assamese dataset is used to develop and evaluate image caption synthesis models for the Assamese language. Researchers employ a bilinear attention mechanism to enhance the performance of these models, focusing on improving translation accuracy through manual corrections. This dataset enables the assessment of model performance and the refinement of caption generation techniques specific to the Assamese language.",https://www.semanticscholar.org/paper/0b6df9e9b7d3ca332600bb8ac24ff2f957b80768 (2023),,https://doi.org/10.48550/arXiv.2503.01453 (2025)
147,Assamese,CommonVoice corpora,Speech,Speech Recognition/Understanding,"The CommonVoice corpora are used to train and evaluate speech recognition models, particularly for Assamese and other Indian languages. Researchers focus on improving the performance and accuracy of these models in recognizing speech in less-resourced languages. The dataset's diverse and multilingual nature enables robust testing and validation, enhancing the generalizability of the models.",https://www.semanticscholar.org/paper/63a71de0dafc90910e37a2b07169ff486d9b5fe5 (2019),https://commonvoice.mozilla.org/en/datasets,https://doi.org/10.1109/APSIPAASC63619.2025.10848811 (2024)
148,Assamese,Dakshina dataset,Text,Machine Translation,"The Dakshina dataset is primarily used for training and evaluating machine translation, transliteration, and script conversion systems for Assamese and other Indic languages. It supports research on linguistic features, script characteristics, and information retrieval tasks. The dataset facilitates the development and evaluation of language processing tools, focusing on low-resource languages and cross-script conversion accuracy. It is also utilized for analyzing morphological and phonological features, enhancing model performance, and compiling datasets for processing South Asian languages written in the Latin script.",https://doi.org/10.3115/v1/N15-3017 (2015),https://github.com/google-research-datasets/dakshina,https://doi.org/10.48550/arXiv.2205.03018 (2022); https://doi.org/10.18653/v1/2023.findings-emnlp.4 (2022)
149,Assamese,EnAsCorp1.0,Text,Machine Translation,"The EnAsCorp1.0 dataset is used to compile and develop English-Assamese parallel and monolingual corpora, focusing on bilingual text alignment and translation quality. It enhances machine translation systems and linguistic resources, specifically addressing the improvement of translation accuracy and linguistic alignment in the context of English-Assamese translation.; The EnAsCorp1.0 dataset is used to compile an English-Assamese corpus for language research, focusing on bilingual text alignment and translation quality. It is also utilized to study linguistic patterns in Assamese, particularly phonetic and morphological structures. The dataset supports the development and evaluation of English-Assamese translation systems by providing parallel and monolingual data for training and evaluation.",https://doi.org/10.18653/v1/2020.loresmt-1.9 (2020),,https://doi.org/10.18653/v1/2023.wmt-1.56 (2023); https://doi.org/10.18653/v1/2024.wmt-1.54 (2024)
150,Assamese,English-Assamese (eng-asm),Text,Machine Translation,"The English-Assamese (eng-asm) dataset is used to compile a bilingual corpus for language research, focusing on text alignment and translation quality. It also supports studies on linguistic patterns in Assamese, particularly phonetic and morphological structures. This dataset enables researchers to analyze and improve bilingual text processing and understand the unique characteristics of the Assamese language.",https://www.semanticscholar.org/paper/bfdc43beebd1f0d2b24b8f1564a9072bb21a6a64 (2021),,https://doi.org/10.18653/v1/2023.wmt-1.56 (2023)
151,Assamese,GUIT Assamese Corpus,Text,Parsing and Tagging,"The GUIT Assamese Corpus is used to provide 30,000 sequences of Assamese text for linguistic analysis, focusing on the structure and usage of the Assamese language. Researchers employ this dataset to examine linguistic patterns and features, enabling detailed studies on the grammatical and syntactical aspects of Assamese.",,,https://doi.org/10.1109/ICMLANT59547.2023.10372865 (2023)
