ID	Cited Article	normalized_id	s2_paperId	year	publicationVenue	journal	citationCount	_error
1	https://doi.org/10.48550/arXiv.2305.05858	1854e1a9588ac2756a5c49168d992aa831cafa6c	1854e1a9588ac2756a5c49168d992aa831cafa6c	2023	Annual Meeting of the Association for Computational Linguistics	ArXiv	10	
2	https://www.semanticscholar.org/paper/0d91346689225a64a48a5a8ec400cf65b15da5c2	0d91346689225a64a48a5a8ec400cf65b15da5c2	0d91346689225a64a48a5a8ec400cf65b15da5c2	2016	International Conference on Language Resources and Evaluation		11	
3	https://doi.org/10.18653/v1/2020.acl-main.156	528dd0da358b4939d99eeb92548deccfeac48bd6	528dd0da358b4939d99eeb92548deccfeac48bd6	2020	Annual Meeting of the Association for Computational Linguistics		251	
4	https://www.semanticscholar.org/paper/25ca4a36df2955b345634b5f8a6b6bb66a774b3c	25ca4a36df2955b345634b5f8a6b6bb66a774b3c	25ca4a36df2955b345634b5f8a6b6bb66a774b3c	2012	International Conference on Language Resources and Evaluation		1965	
5	https://doi.org/10.18653/v1/P19-1050	f2d257625e8029f6f4998deb6279f97e07e2893c	f2d257625e8029f6f4998deb6279f97e07e2893c	2018	Annual Meeting of the Association for Computational Linguistics	ArXiv	1198	
6	https://doi.org/10.48550/arXiv.2503.19642	5378b13489fa6209abece0b0058edcea5db3b863	5378b13489fa6209abece0b0058edcea5db3b863	2025	arXiv.org	ArXiv	1	
7	https://www.sciencedirect.com/science/article/pii/S2352340925006043	URL:https://www.sciencedirect.com/science/article/pii/S2352340925006043						no_entry
8	https://www.semanticscholar.org/paper/ba4c923b43360325cba984549aa3c3224863d1f6	ba4c923b43360325cba984549aa3c3224863d1f6	ba4c923b43360325cba984549aa3c3224863d1f6	2018	International Conference on Language Resources and Evaluation	ArXiv	263	
9	https://doi.org/10.18653/v1/P19-1310	83ff258bdb027e38b75f3043b0789620c17b27f0	83ff258bdb027e38b75f3043b0789620c17b27f0	2019	Annual Meeting of the Association for Computational Linguistics		242	
10	https://doi.org/10.1023/A:1001798929185	dcd0ee8cb2d43ce4101ddc3f6b3e236aa92d5794	dcd0ee8cb2d43ce4101ddc3f6b3e236aa92d5794	1999	Computers and the Humanities	Computers and the Humanities	159	
12	https://doi.org/10.1109/ICDARW.2019.40090	f6af297293d7f5b60d8b7731b7e7979cf877c610	f6af297293d7f5b60d8b7731b7e7979cf877c610	2019		2019 International Conference on Document Analysis and Recognition Workshops (ICDARW)	5	
13	https://doi.org/10.18653/v1/2023.semeval-1.68	199600ce11fffc299c43717ee57c204d361bbee6	199600ce11fffc299c43717ee57c204d361bbee6	2023	International Workshop on Semantic Evaluation	ArXiv	20	
14	https://www.semanticscholar.org/paper/2c69a1695cc09c4d395c9a184659ef2028b4424f	2c69a1695cc09c4d395c9a184659ef2028b4424f	2c69a1695cc09c4d395c9a184659ef2028b4424f	2010			57	
15	https://doi.org/10.18653/v1/S15-2080	110599f48c30251aba60f68b8484a7b0307bcb87	110599f48c30251aba60f68b8484a7b0307bcb87	2015	International Workshop on Semantic Evaluation		229	
16	https://doi.org/10.1007/s10579-016-9347-6	77f69221d83465894f711367f7a0c0e652099e31	77f69221d83465894f711367f7a0c0e652099e31	2016	Language Resources and Evaluation	Language Resources and Evaluation	32	
17	https://doi.org/10.1162/desi.2008.24.2.39	90814d83919ad5c8b8366f893420c4c6dfcf46c8	90814d83919ad5c8b8366f893420c4c6dfcf46c8	2008	Design Issues	Design Issues	131	
19	https://doi.org/10.21437/Interspeech.2017-1305	aedb7f574fd123b36a5c50d1aae4c8af07a71f29	aedb7f574fd123b36a5c50d1aae4c8af07a71f29	2017	Interspeech		23	
20	https://doi.org/10.18653/v1/S19-2005	675bb798f0cf542c0e10687c39482a8ff7e3318a	675bb798f0cf542c0e10687c39482a8ff7e3318a	2019	International Workshop on Semantic Evaluation		302	
21	https://doi.org/10.48550/arXiv.2304.06845	a924a2207906fb192a3ebd6ad0208a5bae684335	a924a2207906fb192a3ebd6ad0208a5bae684335	2023	International Workshop on Semantic Evaluation	ArXiv	72	
22	https://doi.org/10.18653/v1/W17-1317	bce788fd6e6af73e736755fe40c5c3fc226361e1	bce788fd6e6af73e736755fe40c5c3fc226361e1	2017			19	
23	https://www.semanticscholar.org/paper/1b560f892432fb853d233c92f9294640bc91de3c	1b560f892432fb853d233c92f9294640bc91de3c	1b560f892432fb853d233c92f9294640bc91de3c	2012	International Conference on Language Resources and Evaluation		477	
24	https://doi.org/10.1162/tacl_a_00416	b57da3ccf214e8dad49116c8db9590c2c89629f5	b57da3ccf214e8dad49116c8db9590c2c89629f5	2021	Transactions of the Association for Computational Linguistics	Transactions of the Association for Computational Linguistics	212	
25	https://doi.org/10.1109/ICCSPA.2013.6487288	a2062074a55fa2bf4bd8dd23f3104a203fc3687c	a2062074a55fa2bf4bd8dd23f3104a203fc3687c	2013	International Conference on Communications, Signal Processing, and their Applications	2013 1st International Conference on Communications, Signal Processing, and their Applications (ICCSPA)	40	
26	https://doi.org/10.1109/ICCSPA.2013.6487288	a2062074a55fa2bf4bd8dd23f3104a203fc3687c	a2062074a55fa2bf4bd8dd23f3104a203fc3687c	2013	International Conference on Communications, Signal Processing, and their Applications	2013 1st International Conference on Communications, Signal Processing, and their Applications (ICCSPA)	40	
27	https://www.semanticscholar.org/paper/ecd9168526d1a82ac2348c8de52bff6323322da9	ecd9168526d1a82ac2348c8de52bff6323322da9	ecd9168526d1a82ac2348c8de52bff6323322da9	2022	International Conference on Language Resources and Evaluation		109	
28	https://doi.org/10.1109/TASLP.2014.2319159	2cbe0543896fe11034866ac48b7cc7426026c5de	2cbe0543896fe11034866ac48b7cc7426026c5de	2014	IEEE/ACM Transactions on Audio Speech and Language Processing	IEEE/ACM Transactions on Audio, Speech, and Language Processing	42	
29	https://www.semanticscholar.org/paper/a0f99c51f431ca8e6fc1d502840eb6fb4810d17d	a0f99c51f431ca8e6fc1d502840eb6fb4810d17d	a0f99c51f431ca8e6fc1d502840eb6fb4810d17d	2015	Pacific Asia Conference on Language, Information and Computation		121	
30	https://doi.org/10.1109/ICASSP.2011.5947328	525328956954c1f1ea020aa1cfba6cf169942286	525328956954c1f1ea020aa1cfba6cf169942286	2011	IEEE International Conference on Acoustics, Speech, and Signal Processing	2011 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)	20	
