language	year	invented_count	used_count
Afrikaans	2012	1	0
Afrikaans	2016	1	0
Afrikaans	2020	1	1
Afrikaans	2023	1	0
Afrikaans	2024	0	2
Afrikaans	2025	0	1
Akan	1999	1	0
Akan	2018	2	0
Akan	2019	2	3
Akan	2025	1	5
Algerian Arabic	2008	1	0
Algerian Arabic	2010	1	0
Algerian Arabic	2011	1	0
Algerian Arabic	2012	1	0
Algerian Arabic	2013	2	0
Algerian Arabic	2014	2	1
Algerian Arabic	2015	2	0
Algerian Arabic	2016	1	4
Algerian Arabic	2017	2	5
Algerian Arabic	2019	1	0
Algerian Arabic	2021	1	0
Algerian Arabic	2022	1	0
Algerian Arabic	2023	2	5
Algerian Arabic	2024	0	4
Amharic	1985	1	0
Amharic	1990	3	0
Amharic	2001	1	0
Amharic	2004	1	0
Amharic	2005	4	1
Amharic	2006	1	0
Amharic	2007	1	1
Amharic	2009	3	1
Amharic	2010	3	1
Amharic	2011	0	1
Amharic	2012	4	0
Amharic	2013	1	0
Amharic	2014	2	0
Amharic	2015	1	1
Amharic	2016	8	0
Amharic	2017	3	2
Amharic	2018	6	2
Amharic	2019	8	1
Amharic	2020	12	19
Amharic	2021	6	8
Amharic	2022	4	13
Amharic	2023	3	14
Amharic	2024	0	15
Amharic	2025	0	5
Assamese	2005	1	0
Assamese	2012	1	0
Assamese	2013	1	0
Assamese	2014	4	0
Assamese	2015	3	1
Assamese	2016	0	1
Assamese	2018	0	1
Assamese	2019	3	0
Assamese	2020	4	1
Assamese	2021	2	6
Assamese	2022	4	6
Assamese	2023	1	9
Assamese	2024	4	5
Assamese	2025	0	4
Bavarian	2011	1	0
Bavarian	2013	1	0
Bavarian	2014	3	0
Bavarian	2016	3	1
Bavarian	2017	1	0
Bavarian	2018	2	0
Bavarian	2019	1	0
Bavarian	2020	3	1
Bavarian	2021	1	2
Bavarian	2022	1	0
Bavarian	2023	0	7
Bavarian	2024	1	9
Bavarian	2025	0	1
Bengali	1986	1	0
Bengali	1989	1	0
Bengali	1994	1	0
Bengali	1997	2	0
Bengali	1998	2	0
Bengali	2000	1	0
Bengali	2001	2	0
Bengali	2002	2	0
Bengali	2004	2	0
Bengali	2005	1	2
Bengali	2006	6	0
Bengali	2007	4	0
Bengali	2008	2	2
Bengali	2009	9	0
Bengali	2010	7	1
Bengali	2011	10	1
Bengali	2012	17	3
Bengali	2013	3	2
Bengali	2014	19	2
Bengali	2015	9	6
Bengali	2016	22	5
Bengali	2017	16	4
Bengali	2018	50	19
Bengali	2019	61	21
Bengali	2020	78	50
Bengali	2021	48	68
Bengali	2022	32	86
