language	num_datasets_all	num_datasets_label1	num_datasets_label2	num_datasets_label3	num_datasets_label4	sum_citations_all	sum_citations_label1	sum_citations_label2	sum_citations_label3	sum_citations_label4
Akan Corpus	7	3	0	2	1	1868	268	0	401	1
Assamese Corpus	27	12	0	0	14	5633	2816	0	0	244
Bavarian Corpus	17	6	0	1	3	3460	687	0	31	191
Bhojpuri Corpus	6	4	0	0	1	2219	2163	0	0	56
Burmese Corpus	6	2	0	0	4	215	42	0	0	173
Cameroon Pidgin Corpus	3	0	0	3	0	1175	0	0	1175	0
Cebuano Corpus	2	1	0	0	0	273	247	0	0	0
Central Kurdish Corpus	16	8	0	3	7	1623	140	0	228	127
Central Pashto Corpus	6	4	0	0	2	188	137	0	0	51
Chichewa Corpus	1	1	0	0	0	98	98	0	0	0
Chittagonian Corpus	1	0	0	0	1	22	0	0	0	22
Dholuo Corpus	4	1	0	1	2	894	15	0	174	705
Eastern Oromo Corpus	1	1	0	0	0	26	26	0	0	0
Eastern Punjabi Corpus	2	1	0	0	1	47	25	0	0	22
Ghanaian Pidgin English Corpus	2	0	0	2	0	181	0	0	181	0
Gujarati Corpus	15	7	0	0	7	746	374	0	0	334
Haitian Creole Corpus	1	0	0	0	1	0	0	0	0	0
Hakka Chinese Corpus	1	0	0	0	0	39	0	0	0	0
Hausa Corpus	21	12	4	1	2	10841	2840	683	1	22
Indonesian Corpus	209	83	16	9	83	68905	22516	6092	716	15425
Javanese Corpus	10	5	0	0	5	3479	171	0	0	3308
Khmer Corpus	12	7	2	0	5	6657	871	58	0	5945
Kinyarwanda Corpus	11	7	0	0	4	11806	9705	0	0	2101
Kyrgyz Corpus	5	3	0	0	2	279	256	0	0	23
Lao Corpus	2	1	0	0	1	11	8	0	0	3
Levantine Arabic Corpus	9	4	0	1	4	1169	894	0	22	295
Lingala Corpus	1	0	0	0	1	72	0	0	0	72
Magahi Corpus	2	2	0	0	0	16	16	0	0	0
Maithili Corpus	1	0	0	0	1	12	0	0	0	12
Marathi Corpus	45	19	7	4	17	10908	2038	1091	302	2342
Min Nan Chinese Corpus	2	1	0	0	1	100	6	0	0	94
Najdi Arabic Corpus	1	0	0	0	0	69	0	0	0	0
Nepali Corpus	25	11	2	1	11	2721	681	53	443	1544
Nigerian Pidgin Corpus	17	10	3	0	3	7771	7409	329	0	61
Northeastern Thai Corpus	2	0	0	1	1	732	0	0	318	414
Northern Kurdish Corpus	1	0	0	0	1	47	0	0	0	47
Northern Pashto Corpus	7	3	0	0	4	142	85	0	0	57
Northern Sotho Corpus	7	2	0	2	2	449	185	0	41	221
Northern Thai Corpus	2	1	0	0	0	1139	414	0	0	0
Odia Corpus	17	7	3	0	6	1359	1047	163	0	108
Rundi Corpus	1	1	0	0	0	235	235	0	0	0
Sadri Corpus	1	0	0	0	1	11	0	0	0	11
Setswana Corpus	20	18	0	0	3	7465	7452	0	0	38
Sindhi Corpus	19	5	2	0	10	1484	1265	11	0	197
Somali Corpus	6	5	0	0	1	7543	7531	0	0	12
Southern Kurdish Corpus	4	1	0	0	1	41	12	0	0	5
Southern Sotho Corpus	4	1	0	0	0	247	11	0	0	0
Sudanese Arabic Corpus	3	0	1	0	1	282	0	20	0	130
Swahili Corpus	19	13	0	3	2	9980	8108	0	1759	97
Sylheti Corpus	2	1	0	0	1	3	3	0	0	0
Tatar Corpus	5	5	0	0	0	17	17	0	0	0
Tigrigna Corpus	2	1	0	0	1	14	6	0	0	8
Tunisian Arabic Corpus	20	7	0	4	5	7127	1331	0	5391	59
Turkmen Corpus	3	2	0	0	0	33	31	0	0	0
Uyghur Corpus	6	1	1	1	1	3385	730	1453	0	1
Western Punjabi Corpus	2	2	0	0	0	1816	1816	0	0	0
Wolof Corpus	2	0	0	0	2	6	0	0	0	6
Xhosa Corpus	2	2	0	0	0	374	374	0	0	0
Yoruba Corpus	9	7	3	0	0	2306	2266	57	0	0
Zarma Corpus	1	1	0	0	0	2	2	0	0	0
