language	num_datasets_all	num_datasets_label0	num_datasets_label1	num_datasets_label2	num_datasets_label3	num_datasets_label4
Akan Corpus	8	2	3	0	2	1
Assamese Corpus	34	3	16	0	0	15
Bavarian Corpus	21	8	8	0	1	4
Bhojpuri Corpus	8	1	6	0	0	1
Burmese Corpus	9	0	5	0	0	4
Cameroon Pidgin Corpus	4	0	1	0	3	0
Cebuano Corpus	2	1	1	0	0	0
Central Kurdish Corpus	23	3	8	0	3	9
Central Pashto Corpus	6	0	4	0	0	2
Chichewa Corpus	1	0	1	0	0	0
Chittagonian Corpus	1	0	0	0	0	1
Dholuo Corpus	4	0	1	0	1	2
Eastern Oromo Corpus	3	1	1	0	0	1
Eastern Punjabi Corpus	4	0	2	0	1	1
Ghanaian Pidgin English Corpus	3	0	0	0	3	0
Gujarati Corpus	18	1	8	0	0	9
Hakka Chinese Corpus	1	1	0	0	0	0
Hausa Corpus	24	3	14	4	1	2
Indonesian Corpus	276	45	98	23	12	98
Javanese Corpus	12	0	5	1	0	6
Khmer Corpus	18	0	9	4	0	5
Kinyarwanda Corpus	13	0	8	1	0	4
Kyrgyz Corpus	7	0	5	0	0	2
Lingala Corpus	1	0	0	0	0	1
Magahi Corpus	2	0	2	0	0	0
Maithili Corpus	1	0	0	0	0	1
Marathi Corpus	58	5	22	8	4	19
Min Nan Chinese Corpus	2	0	1	0	0	1
Najdi Arabic Corpus	1	1	0	0	0	0
Nepali Corpus	33	0	18	2	1	12
Nigerian Pidgin Corpus	23	3	12	4	0	4
Northeastern Thai Corpus	2	0	0	0	1	1
Northern Kurdish Corpus	1	0	0	0	0	1
Northern Pashto Corpus	8	0	4	0	0	4
Northern Sotho Corpus	11	2	3	0	4	2
Northern Thai Corpus	2	1	1	0	0	0
Odia Corpus	22	3	8	3	0	8
Rundi Corpus	1	0	1	0	0	0
Sadri Corpus	1	0	0	0	0	1
Setswana Corpus	27	1	23	0	0	3
Sicilian Corpus	1	0	0	0	1	0
Sindhi Corpus	22	3	6	2	0	11
Somali Corpus	6	0	5	0	0	1
Southern Kurdish Corpus	5	2	1	0	0	2
Southern Sotho Corpus	5	3	1	0	0	1
Southern Uzbek Corpus	1	1	0	0	0	0
Sudanese Arabic Corpus	4	1	1	1	0	1
Swahili Corpus	25	2	15	0	4	4
Sylheti Corpus	2	0	1	0	0	1
Tatar Corpus	7	0	7	0	0	0
Tigrigna Corpus	2	0	1	0	0	1
Tiv Corpus	1	0	0	0	1	0
Turkmen Corpus	3	1	2	0	0	0
Uyghur Corpus	9	2	4	1	1	1
Western Punjabi Corpus	2	0	2	0	0	0
Wolof Corpus	3	0	0	0	0	3
Xhosa Corpus	2	0	2	0	0	0
Yoruba Corpus	15	1	8	4	0	2
Zarma Corpus	1	0	1	0	0	0
