language	our_count	LRE_count	LDC_count
Setswana	26	0	0
Tatar	7	0	0
Kyrgyz	7	0	0
Bavarian	13	0	0
Nepali	31	0	0
Central Pashto	6	0	0
Dholuo	4	0	0
Northern Sotho	9	0	0
Ghanaian Pidgin	3	0	0
Southern Kurdish	3	0	0
Sindhi	17	0	0
Odia	16	0	0
Cameroon Pidgin	4	0	0
Northern Pashto	8	0	0
Turkmen	2	0	0
Sicilian	1	0	0
Burmese	9	0	0
Tiv	1	0	0
Zarma	1	0	0
Tigrigna	2	0	0
Sylheti	2	0	0
Eastern Oromo	2	0	0
Southern Sotho	2	0	0
Nigerian Pidgin	16	0	0
Northeastern Thai	2	0	0
Bhojpuri	7	0	0
Northern Thai	1	0	0
Eastern Punjabi	4	0	0
Xhosa	2	0	0
Magahi	2	0	0
Sadri	1	0	0
Rundi	1	0	0
Chittagonian	1	0	0
Chichewa	1	0	0
Maithili	1	0	0
Sudanese Arabic	2	0	0
Lingala	1	0	0
Western Punjabi	2	0	0
Central Kurdish	20	0	1
Assamese	31	0	1
Indonesian	208	31	3
Kinyarwanda	12	0	1
Khmer	14	0	3
Akan	6	0	1
Marathi	45	14	0
Uyghur	6	0	1
Gujarati	17	11	0
Swahili	23	0	4
Somali	6	0	2
Yoruba	10	0	2
Hausa	17	12	2
Wolof	3	0	1
Javanese	11	0	1
Northern Kurdish	1	0	2
Cebuano	1	0	3
Min Nan Chinese	2	0	7
